Date,Close,High,Low,Open,Volume
2016-04-04,111.67365264892578,113.65808000780504,110.74096936785585,113.18181411087858,48487900
2016-04-05,111.3462142944336,112.43764776877615,111.02870623698868,111.23707019000041,22962400
2016-04-06,112.8246078491211,112.92382769538845,111.54465139330178,111.59426510142997,20814600
2016-04-07,112.75515747070312,113.99542452099685,112.18959599856876,112.90399103073624,20714500
2016-04-08,109.76860046386719,113.43979574797027,109.04428869178054,113.36041683404602,48497800
2016-04-11,108.141357421875,110.04641327433833,107.9230692201352,109.8380417581402,39762300
2016-04-12,109.74874877929688,110.29446929662925,108.14135999459992,108.48863324654364,26248100
2016-04-13,109.6495361328125,111.77287280699146,105.6905980906841,111.35614487729046,88227400
2016-04-14,109.9769515991211,111.16761245904358,109.40147346531369,109.75867096629153,28473300
2016-04-15,108.78630828857422,110.10595431213251,108.34973184288823,109.92735554526004,20922800
2016-04-18,109.58999633789062,109.94719386310697,108.34972925588647,108.88552554371101,21167200
2016-04-19,111.4156723022461,111.57442255075688,108.31004628523246,110.23493562961633,30210500
2016-04-20,111.5446548461914,112.38803492055453,110.69135051589764,111.55457910212206,21027900
2016-04-21,112.55672454833984,113.152051254331,111.43551822256687,111.67365496095516,20875200
2016-04-22,109.69913482666016,110.87987145063389,108.16120826575893,110.34407519025898,38458200
2016-04-25,109.24270629882812,109.8082676986018,108.22072759134133,109.01450142996573,21017900
2016-04-26,107.91314697265625,109.63959641654165,107.30789610629617,109.62967216152254,22521500
2016-04-27,108.04214477539062,108.0917584863605,105.48223171712972,107.09954482687856,52213100
2016-04-28,115.82110595703125,119.84949106708139,115.32499911805996,118.64891342516964,87110100
2016-04-29,116.66448211669922,116.92245221383175,114.9380249251789,115.91039762741411,37140600
2016-05-02,117.64677429199219,117.8055321124402,115.662346956329,116.91253829739388,28095200
2016-05-03,116.51564025878906,117.23995949836275,116.10882905999,116.60493584682467,24117500
2016-05-04,117.14073944091797,117.37887616394447,115.66234324291088,115.70203269674863,23448400
2016-05-05,116.8926773071289,118.05357292776407,116.33704013485138,117.12088975716502,22056700
2016-05-06,118.55960845947266,118.70844202290449,116.19814266698384,116.24775637812428,26395600
2016-05-09,118.31153869628906,119.34344167151527,117.97418973111297,118.60920578202317,21138100
2016-05-10,119.56173706054688,119.56173706054688,118.07341668219982,118.68859183044594,23220000
2016-05-11,118.58937072753906,120.13722915099358,118.49015087769963,119.47244783008114,22038400
2016-05-12,119.34346008300781,119.89909732077705,117.97420793136665,119.04580052134128,22035500
2016-05-13,118.87710571289062,119.70064479496035,118.74812067364634,119.44266714648298,18124300
2016-05-16,117.74600219726562,118.6786855312089,116.43628036895741,118.4504730412051,31247800
2016-05-17,116.43627166748047,118.08334997922842,116.28743810425188,117.89482696113957,21328600
2016-05-18,116.73393249511719,117.34910008728376,115.8210977925552,115.89055244231558,21642300
2016-05-19,115.90047454833984,116.57518013613301,114.9777155469461,116.1386112757888,20544100
2016-05-20,116.43627166748047,117.0712878052656,116.03938468886739,116.04930894507983,18944800
2016-05-23,115.0670166015625,116.68432210337586,115.03725140367472,116.50572334605991,20441000
2016-05-24,116.78353118896484,116.81330395409773,115.21583954145271,115.3349003220299,20183600
2016-05-25,116.97206115722656,117.74598655706407,116.46603009964473,117.21019030256372,20019800
2016-05-26,118.53976440429688,118.82750726737876,117.00183023920144,117.3193383001902,18481300
2016-05-27,118.45044708251953,118.91678864729136,118.0833329255626,118.6290458186026,13493600
2016-05-31,117.88489532470703,119.16485177635766,117.20027308869969,118.52983567832791,23547600
2016-06-01,117.85514831542969,118.15281546918757,116.9026240213907,117.57732967591708,15029500
2016-06-02,118.00395965576172,118.50999069379807,117.29948893260733,117.76583051962233,13228300
2016-06-03,117.54755401611328,118.05358510448309,116.94230307531535,118.05358510448309,14135100
2016-06-06,117.86506652832031,118.50008269178208,117.4384143338079,117.69639201583605,12744700
2016-06-07,116.84307861328125,118.37108850435892,116.7537754506264,118.31155053925929,17103000
2016-06-08,117.46817016601562,117.67653411834874,116.3568881835832,116.8430783090163,14505600
2016-06-09,117.6368408203125,117.75590917632097,116.79346078272204,117.2101886737683,13859200
2016-06-10,115.71195983886719,117.19035607374938,115.35476231540727,116.6247945899361,18510800
2016-06-13,113.062744140625,114.58083740742839,112.427728000389,114.10457151725663,31718200
2016-06-14,114.0450439453125,114.05496063181943,112.69563272138059,113.18181530985923,17618500
2016-06-15,113.70767974853516,114.54114312873868,113.1818077392348,114.4022338270363,19819400
2016-06-16,113.49932098388672,113.60846509306874,112.06061419192665,112.98337320683586,19236300
