Date,Close,High,Low,Open,Volume
2016-04-04,45.60410690307617,45.889131744735636,45.41922409799741,45.78898676954245,12305000
2016-04-05,44.95703125,45.31909189677355,44.84147910442155,45.13420905157066,12886600
2016-04-06,45.303672790527344,45.3575963272677,44.641180266445964,44.81835802125176,12167900
2016-04-07,44.15587615966797,45.01095378961892,43.96329121377318,44.87999449833167,19226800
2016-04-08,44.47942352294922,45.126509104178645,44.440904180172595,44.45631132956059,13547700
2016-04-11,44.83377456665039,45.357605837919344,44.610375331247724,44.610375331247724,17627800
2016-04-12,45.665748596191406,45.75048645586047,44.83378302745074,44.941630143897356,17779200
2016-04-13,47.59928894042969,47.884313795673016,46.513110122684026,46.59014291428083,37516800
2016-04-14,48.2155647277832,48.46207321094431,47.46063213077569,47.52225778225951,24249900
2016-04-15,47.66092300415039,48.454375003082475,47.337381695962804,48.43896785431929,19290700
2016-04-18,47.969058990478516,48.207865382853804,47.39900625390428,47.48374410083142,13813100
2016-04-19,48.777923583984375,48.90117785385379,48.18476149192108,48.18476149192108,19255600
2016-04-20,49.48662567138672,49.54054922073402,48.64695813480361,48.9011687333533,14594400
2016-04-21,48.99360656738281,49.81017069294351,48.79331952683263,49.50203361974471,15395800
2016-04-22,49.27864456176758,49.59448086600937,49.02443098310638,49.02443098310638,12444700
2016-04-25,48.99360656738281,49.26322724108499,48.646956033300306,48.99360656738281,10687200
2016-04-26,49.247825622558594,49.35567272870216,48.785622899482355,49.155385665665996,12048000
2016-04-27,49.386478424072266,49.79475752295444,48.99360353314441,49.19389349990328,15284100
2016-04-28,48.99360656738281,49.62528492268873,48.80102163128679,49.02442086242527,12852500
2016-04-29,48.68547439575195,49.00131358613927,48.3003045080302,48.60073655027508,16376400
2016-05-02,49.13997268676758,49.30174332679152,48.63925068065969,49.06293694965173,10247300
2016-05-03,48.192466735839844,48.46208453397622,47.607006747581416,48.45438242772101,19120300
2016-05-04,47.42981719970703,47.96135055840554,47.19871586716911,47.56847858695236,17030200
2016-05-05,47.17560577392578,47.761062668485316,47.03694438915406,47.45292560485641,14033900
2016-05-06,47.45293426513672,47.514562864555,46.674892298467704,46.759630153361165,11057900
2016-05-09,47.152496337890625,47.676327613485256,47.029242092963244,47.27575058281801,11197100
2016-05-10,47.79187774658203,47.96135048960654,47.26034145003312,47.41440998437502,11897200
2016-05-11,47.61469268798828,48.22325875083713,47.61469268798828,47.737946908913514,11254000
2016-05-12,47.58388900756836,48.192458144718266,47.27575191724578,47.96905890116505,11071700
