Date,Close,High,Low,Open,Volume
2016-04-04,175.22781372070312,175.92448325116527,174.92196101820605,175.7205771282654,63497000
2016-04-05,173.47769165039062,175.23633527129175,173.2228121935869,173.88549100305198,99662200
2016-04-06,175.3722686767578,175.43174616625078,173.29926815586828,173.4776876606398,91839800
2016-04-07,173.27374267578125,174.64158202679974,172.54309532746632,174.28475606093028,113859000
2016-04-08,173.7410125732422,174.88796331849824,173.20576716362885,174.45466447692402,95040600
2016-04-11,173.33323669433594,175.07489759401867,173.2397813398055,174.3782280486633,83757500
2016-04-12,174.94744873046875,175.22781478977706,173.06135921418053,173.50314933463957,115350600
2016-04-13,176.714599609375,176.79956373697718,175.72907276949485,175.8650101881761,96336400
2016-04-14,176.72312927246094,177.22439699240624,176.37480738642867,176.7741155383348,65212900
2016-04-15,176.5277099609375,176.85904935618856,176.20486179397741,176.72311192128882,75761600
2016-04-18,177.76812744140625,177.80210532039408,175.86504212538503,176.52772095716665,82531000
2016-04-19,178.3288116455078,178.58369106078013,177.51321307308314,178.1928871925741,88316100
2016-04-20,178.49868774414062,179.1953441143822,177.89547373636768,178.3712415918891,81100300
2016-04-21,177.53872680664062,178.62620037826784,177.26685193188004,178.5157495899329,85695000
2016-04-22,177.53872680664062,177.81058871769366,176.6381639704844,177.18190075629803,99251700
2016-04-25,177.23284912109375,177.2753311847621,176.32378222067248,176.9354876391209,66166500
2016-04-26,177.49620056152344,178.00595934297635,177.02043261280969,177.5981471323323,75864200
2016-04-27,177.861572265625,178.25237618749588,176.75710329025068,177.11392933514873,77329400
2016-04-28,176.24729919433594,178.20984841986925,175.8310087305586,177.1053926914196,97216200
2016-04-29,175.2958221435547,175.9754964101699,174.1913530807685,175.6271615660197,142424100
2016-05-02,176.68910217285156,176.86750868073221,175.36374483091808,175.79703074233328,62188000
2016-05-03,175.15139770507812,175.6951345387806,174.4037546973465,175.45725048426755,106422100
2016-05-04,174.17431640625,174.8879813472055,173.67306177677943,174.15733395229546,92243800
2016-05-05,174.140380859375,174.99846168602681,173.71558606056962,174.6416356106753,67619200
2016-05-06,174.77757263183594,174.82005470435467,173.2143308873301,173.3672507919475,89315000
2016-05-09,174.9219512939453,175.3552371968517,174.47166997414908,174.65008944223095,74374900
2016-05-10,177.09693908691406,177.1139345077505,175.55918407576223,175.62715279540032,77472200
2016-05-11,175.440185546875,177.17334196640778,175.440185546875,176.6381095376849,81727000
2016-05-12,175.4912109375,176.28133594015418,174.48019732436455,176.11140766348365,89586300
2016-05-13,173.9619140625,175.7460569180924,173.63907891846603,175.19382901520686,96474600
2016-05-16,175.6781463623047,176.15391449095318,174.07242244626138,174.13189994419704,77486800
2016-05-17,174.0384063720703,175.69510322923796,173.51165209062506,175.4062459236203,114924900
2016-05-18,174.08938598632812,175.27031486213005,173.00191247323167,173.6900778878326,120062100
2016-05-19,173.4861602783203,173.77501757533724,172.27974483456785,173.36721827580124,115430500
2016-05-20,174.58218383789062,175.10043404885363,174.04693820389505,174.09791150928334,104990400
2016-05-23,174.34426879882812,174.8795013740327,174.15735806980203,174.59913528049358,58682600
2016-05-24,176.60415649414062,176.9185134089353,175.13437036157126,175.15985700821594,93537800
2016-05-25,177.8020477294922,178.21835115357214,176.60412370478156,177.2837977377616,76621400
2016-05-26,177.85302734375,178.16738421136841,177.53868343983595,177.93799146228565,55280700
2016-05-27,178.61770629882812,178.62619752713854,177.96351873512137,178.01449203239846,64211200
2016-05-31,178.27784729003906,179.0000035088857,177.7171151410786,178.88955273186752,109879400
2016-06-01,178.64317321777344,178.82157973853978,177.47073565505667,177.66613759427415,69936200
2016-06-02,179.1868896484375,179.2038721012601,177.76807701548483,178.24384496860614,63044700
2016-06-03,178.65164184570312,178.99997657950476,177.4452265624016,178.62615520310342,101757100
2016-06-06,179.5607147216797,179.91754069385723,178.8470498136199,179.00847386468456,64887000
2016-06-07,179.841064453125,180.40179652627143,179.6881445951966,179.71363123818466,60974800
2016-06-08,180.4272918701172,180.55473805490792,179.84957731625556,179.9770105373412,66170900
2016-06-09,180.18096923828125,180.29991126724124,179.42483499052656,179.69669692941702,73786900
2016-06-10,178.4732666015625,179.14443658039636,177.9295168943366,178.8046059770867,113829200
2016-06-13,177.09693908691406,178.72814946710477,177.01198791014727,177.87006868862602,117751200
2016-06-14,176.7486114501953,177.34333453029458,175.7970752639697,176.71463357084795,125059300
2016-06-15,176.50221252441406,177.87005209068462,176.31530180377783,176.74858776686733,109124500
2016-06-16,177.02899169921875,177.19892000064414,174.66713350295012,176.5022502631861,149533100
2016-06-17,176.3696746826172,176.95039366641055,175.71208510180838,176.92477447777986,117055700
2016-06-20,177.50547790527344,179.0085265310742,177.42007193617692,178.33386628724855,82789600
2016-06-21,178.0093536376953,178.419273654042,177.44570547076717,177.88979308996412,72461700
2016-06-22,177.7190399169922,178.91464570207364,177.57384711418698,178.1887338125505,95560500
2016-06-23,180.0333709716797,180.08460935149466,178.71820477564012,179.17936322509908,102731400
2016-06-24,173.5685577392578,180.0675579096648,173.12447001464724,173.90162027493437,333444400
2016-06-27,170.45994567871094,172.16796111424463,169.64862792193355,172.15941269714784,230775800
2016-06-28,173.5343475341797,173.55996672054923,171.75801010286608,172.06545337042272,159382400
2016-06-29,176.48927307128906,176.71984581838962,174.83249568537494,174.93497246186408,137328600
2016-06-30,178.8975372314453,178.9487756107237,176.40383620128068,176.95894904941898,165021900
2016-07-01,179.27330017089844,179.76009082936653,178.73527113388084,178.89753468670352,106055300
